1,CA-A CANCER JOURNAL FOR CLINICIANS,"16,130",162.5,0.06027,
2,NEW ENGLAND JOURNAL OF MEDICINE,"257,469",54.42,0.65916,
3,CHEMICAL REVIEWS,"124,463",45.661,0.2176,
4,REVIEWS OF MODERN PHYSICS,"37,647",42.86,0.12878,
5,NATURE,"590,324",42.351,1.60419,
6,Annual Review of Immunology,"16,653",41.392,0.04788,
7,NATURE REVIEWS GENETICS,"26,358",39.794,0.12699,
8,LANCET,"176,528",39.207,0.38168,
9,NATURE BIOTECHNOLOGY,"42,156",39.08,0.14398,
10,NATURE REVIEWS CANCER,"36,052",37.912,0.11209,
11,NATURE REVIEWS DRUG DISCOVERY,"21,454",37.231,0.06325,
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"34,124",36.458,0.13375,
13,NATURE MATERIALS,"54,962",36.425,0.20038,
14,NATURE REVIEWS IMMUNOLOGY,"27,024",33.836,0.10349,
15,Nature Nanotechnology,"27,858",33.265,0.15695,
16,CELL,"191,226",33.116,0.59956,
17,SCIENCE,"537,035",31.477,1.2763,
18,NATURE REVIEWS NEUROSCIENCE,"30,120",31.376,0.0891,
19,CHEMICAL SOCIETY REVIEWS,"63,071",30.425,0.21388,
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"124,822",30.387,0.25174,
21,Nature Photonics,"18,623",29.958,0.11878,
22,NATURE GENETICS,"81,548",29.648,0.27583,
23,PHYSIOLOGICAL REVIEWS,"23,974",29.041,0.04169,
24,NATURE MEDICINE,"60,002",28.054,0.16308,
25,PROGRESS IN POLYMER SCIENCE,"17,446",26.854,0.03058,
26,Annual Review of Biochemistry,"20,070",26.534,0.04981,
27,NATURE METHODS,"24,560",25.953,0.15317,
28,PROGRESS IN MATERIALS SCIENCE,"6,903",25.87,0.01506,
29,NATURE IMMUNOLOGY,"34,765",24.973,0.14263,
30,LANCET ONCOLOGY,"20,565",24.725,0.0931,
31,SURFACE SCIENCE REPORTS,"4,410",24.562,0.00828,
32,ACCOUNTS OF CHEMICAL RESEARCH,"47,005",24.348,0.11178,
33,Annual Review of Astronomy and Astrophysics,"8,312",24.037,0.02248,
34,CANCER CELL,"24,929",23.893,0.11487,
35,NATURE REVIEWS MICROBIOLOGY,"16,774",23.317,0.06896,
36,Nature Chemistry,"12,440",23.297,0.07213,
37,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"21,386",22.91,0.03948,
38,Annual Review of Neuroscience,"13,345",22.66,0.02782,
39,Cell Stem Cell,"15,492",22.151,0.11745,
40,Annual Review of Pathology-Mechanisms of Disease,"2,767",22.128,0.01441,
41,LANCET NEUROLOGY,"17,534",21.823,0.06726,
42,TRENDS IN COGNITIVE SCIENCES,"18,076",21.147,0.0439,
42,TRENDS IN COGNITIVE SCIENCES,"18,076",21.147,0.0439,
44,Nature Physics,"20,321",20.603,0.17336,
45,Annual Review of Psychology,"11,810",20.533,0.02458,
45,Annual Review of Psychology,"11,810",20.533,0.02458,
47,Annual Review of Cell and Developmental Biology,"9,224",20.241,0.02485,
48,NATURE CELL BIOLOGY,"34,482",20.058,0.14265,
49,IMMUNITY,"34,787",19.748,0.14034,
50,LANCET INFECTIOUS DISEASES,"11,710",19.446,0.04036,
51,ENDOCRINE REVIEWS,"13,623",19.358,0.02068,
52,Annual Review of Plant Biology,"15,228",18.9,0.02559,
53,PHARMACOLOGICAL REVIEWS,"11,069",18.551,0.0171,
54,Annual Review of Pharmacology and Toxicology,"7,373",18.523,0.01213,
55,Nano Today,"3,855",18.432,0.01466,
56,Annual Review of Genetics,"7,015",18.115,0.02496,
57,ADVANCES IN PHYSICS,"5,026",18.062,0.0102,
58,JOURNAL OF CLINICAL ONCOLOGY,"130,991",17.879,0.37119,
59,Alzheimers & Dementia,"3,821",17.472,0.01606,
60,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"5,978",16.909,0.01309,
61,Cell Metabolism,"15,636",16.747,0.07873,
62,Living Reviews in Relativity,"1,600",16.526,0.00634,
63,Annual Review of Marine Science,"1,628",16.381,0.01243,
64,BMJ-British Medical Journal,"85,434",16.378,0.16067,
65,ALDRICHIMICA ACTA,"1,066",16.333,0.00243,
66,ANNALS OF INTERNAL MEDICINE,"47,309",16.104,0.10285,
67,CLINICAL MICROBIOLOGY REVIEWS,"12,781",16,0.01946,
68,NEURON,"71,989",15.982,0.22641,
69,Cancer Discovery,"2,210",15.929,0.0175,
70,Nature Reviews Clinical Oncology,"3,523",15.696,0.02286,
71,Annual Review of Physical Chemistry,"7,570",15.678,0.015,
72,REPORTS ON PROGRESS IN PHYSICS,"11,421",15.633,0.03447,
73,Annual Review of Materials Research,"5,833",15.629,0.01155,
74,Energy & Environmental Science,"22,428",15.49,0.0873,
75,Annual Review of Medicine,"5,560",15.478,0.0148,
76,ADVANCED MATERIALS,"107,567",15.409,0.27528,
77,TRENDS IN ECOLOGY & EVOLUTION,"26,806",15.353,0.05438,
78,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"79,235",15.343,0.20014,
79,Nature Climate Change,"2,871",15.295,0.02112,
79,Nature Climate Change,"2,871",15.295,0.02112,
81,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"9,547",15.255,0.01623,
82,JNCI-Journal of the National Cancer Institute,"37,903",15.161,0.0725,
83,MOLECULAR PSYCHIATRY,"13,902",15.147,0.03938,
84,NATURE NEUROSCIENCE,"46,095",14.976,0.15151,
85,BEHAVIORAL AND BRAIN SCIENCES,"7,017",14.962,0.00969,
85,BEHAVIORAL AND BRAIN SCIENCES,"7,017",14.962,0.00969,
87,CIRCULATION,"158,661",14.948,0.28802,
88,EUROPEAN HEART JOURNAL,"36,613",14.723,0.11136,
89,Annual Review of Physiology,"8,246",14.696,0.01584,
90,MOLECULAR CELL,"52,033",14.464,0.22563,
91,Science Translational Medicine,"9,222",14.414,0.07005,
92,PSYCHOLOGICAL BULLETIN,"34,080",14.392,0.03187,
92,PSYCHOLOGICAL BULLETIN,"34,080",14.392,0.03187,
94,Advanced Energy Materials,"5,433",14.385,0.02205,
95,MOLECULAR BIOLOGY AND EVOLUTION,"34,971",14.308,0.08732,
96,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"23,718",14.137,0.08464,
97,Nature Reviews Neurology,"3,257",14.103,0.01898,
98,Molecular Systems Biology,"7,195",14.099,0.03999,
99,PLOS MEDICINE,"16,975",14,0.074,
100,GASTROENTEROLOGY,"62,445",13.926,0.14739,
101,JOURNAL OF EXPERIMENTAL MEDICINE,"64,191",13.912,0.13872,
102,GENOME RESEARCH,"30,995",13.852,0.14207,
103,FEMS MICROBIOLOGY REVIEWS,"8,827",13.806,0.02255,
104,JOURNAL OF CLINICAL INVESTIGATION,"96,908",13.765,0.19352,
105,ARCHIVES OF GENERAL PSYCHIATRY,"38,622",13.747,0.05477,
105,ARCHIVES OF GENERAL PSYCHIATRY,"38,622",13.747,0.05477,
107,AMERICAN JOURNAL OF PSYCHIATRY,"43,193",13.559,0.04942,
107,AMERICAN JOURNAL OF PSYCHIATRY,"43,193",13.559,0.04942,
109,TRENDS IN BIOCHEMICAL SCIENCES,"15,910",13.522,0.03767,
110,TRENDS IN PLANT SCIENCE,"15,367",13.479,0.03429,
111,GUT,"33,059",13.319,0.0654,
112,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,071",13.312,0.00662,
113,ARCHIVES OF INTERNAL MEDICINE,"39,734",13.246,0.08584,
114,Nature Chemical Biology,"12,495",13.217,0.06653,
115,ECOLOGY LETTERS,"20,519",13.042,0.06471,
116,Annual Review of Entomology,"9,546",13.021,0.01048,
117,Annual Review of Microbiology,"9,159",13.018,0.01719,
118,PROGRESS IN LIPID RESEARCH,"4,382",12.963,0.00883,
119,Nature Reviews Endocrinology,"2,753",12.958,0.01608,
120,NANO LETTERS,"103,399",12.94,0.37513,
121,Annual Review of Clinical Psychology,"2,542",12.921,0.00947,
121,Annual Review of Clinical Psychology,"2,542",12.921,0.00947,
123,IMMUNOLOGICAL REVIEWS,"13,018",12.909,0.04899,
124,TRENDS IN NEUROSCIENCES,"18,523",12.902,0.03691,
125,World Psychiatry,"1,459",12.846,0.00379,
125,World Psychiatry,"1,459",12.846,0.00379,
127,Psychological Science in the Public Interest,584,12.833,0.00216,
128,ADVANCED DRUG DELIVERY REVIEWS,"23,820",12.707,0.03938,
129,GENES & DEVELOPMENT,"59,234",12.639,0.16574,
130,EUROPEAN UROLOGY,"19,389",12.48,0.0564,
131,Annual Review of Biomedical Engineering,"3,486",12.45,0.00778,
132,TRENDS IN CELL BIOLOGY,"11,144",12.314,0.03868,
133,Annual Review of Biophysics,"1,975",12.25,0.01724,
134,Cell Host & Microbe,"7,622",12.194,0.05316,
135,MOLECULAR INTERVENTIONS,"1,073",12.143,0.00197,
136,COORDINATION CHEMISTRY REVIEWS,"27,922",12.098,0.03644,
137,ACS Nano,"58,446",12.033,0.27094,
138,TRENDS IN IMMUNOLOGY,"8,638",12.031,0.02783,
139,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"51,564",11.986,0.09514,
140,CELL RESEARCH,"8,083",11.981,0.03778,
141,ANNALS OF NEUROLOGY,"33,670",11.91,0.06321,
142,Annual Review of Condensed Matter Physics,845,11.909,0.00854,
143,Living Reviews in Solar Physics,582,11.833,0.00391,
144,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,154",11.789,0.00765,
145,PLOS BIOLOGY,"24,324",11.771,0.11227,
146,Nature Geoscience,"10,224",11.668,0.0919,
147,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"25,691",11.633,0.11795,
